food_group_id,country,project,food_article_0,food_article_1,food_article_2,food_article_3,food_article_4,food_article_5,food_article_6,food_article_7,food_article_8,food_article_9,food_article_10,food_article_11,food_article_12,food_article_13,food_article_14,food_article_15,food_article_16,food_article_17,food_article_18,food_article_19,food_article_20,food_article_21,food_article_22,food_article_23,food_article_24,food_article_25,food_article_26,food_article_27,food_article_28,food_article_29,food_article_30,food_label_0,food_label_1,food_label_2,food_label_3,food_label_4,food_label_5,food_label_6,food_label_7,food_label_8,food_label_9,food_label_10,food_label_11,food_label_12,food_label_13,food_label_14,food_label_15,food_label_16,food_label_17,food_label_18,food_label_19,food_label_20,food_label_21,food_label_22,food_label_23,food_label_24
LDA_c2_g3,2,food,Chicken as food,Parsley,Kimchi,Pumpkin,Borscht,Babka (cake),Peking duck,Panini (sandwich),Pressure cooking,Apple pie,Cookie,Mulled wine,Cake,Bacon,Ramen,Chopsticks,Horse meat,Iranian cuisine,Dolma,Spaghetti alla puttanesca,Earbuds,Butter chicken,Pastel de nata,Stir frying,Sauerkraut,Vicia faba,Arab cuisine,Bangers and mash,Ipomoea aquatica,Couscous,Deep frying,bread,ingredients,,rice,cuisine,cheese,cuisine by country,,dishes,food and drink by country,dish,cuisine,pork,cooked,,beef,call,served,cuisine by continent,preparation,,serve,meat,culture by country,food
kmeans_plain_c5_g39,5,food,American cheese,Chicken as food,Bacon,Latte,Peanut butter and jelly sandwich,Waffle,Curing (food preservation),Mathematical Statistics,Egg foo young,Pasty,Ramen,Cast-iron cookware,Cooking,Lo mein,Stir frying,Cornmeal,Dosa,Wheat gluten (food),Mediterranean cuisine,Golden syrup,Welsh rarebit,Carbonara,Kimchi,Couscous,Tabasco sauce,Egg as food,Wedding cake,Russian cuisine,Butter chicken,Challah,Cappuccino,cuisine,,food and drink by country,cuisine,cooked,sea,dishes,culture by country,meat,bread,occur,cuisine by country,pork,sugar,beef,,cheese,abalone,preparation,dish,traditional,served,cuisine by region,salmon,range
kmeans_plain_c0_g19,0,food,Mineral (nutrient),Monosodium glutamate,Refrigerator,Veganism,Genetically modified crops,Camphor,Yakult,Cocoa bean,Healthy diet,Salt,Freeze-drying,Glucose,Borax,Lactic acid,Theophylline,Acetic acid,Peanut butter,Ammonium chloride,Vitamin E,Drinking water,Painting,Genetically modified food,Food irradiation,Lactose,Potassium nitrate,Pressure cooking,Water,Amylase,Potassium chloride,Farmer,Soybean,acid,beverage,processing,canada,food,food and drink,food politics,,nutrition,increase,,protein,health,offer,organic compound,diet,studies,operate,health,effects,food additives,intake,chemical formula,carbohydrate,start
LDA_c1_g7,1,food,Blood orange,Bergamot orange,Key lime,Quinoa,Catfish,Melon,Tamarind,Seaweed,Pea,Juniper berry,Juniper,Moringa oleifera,Camphor,Lobster,Atlantic salmon,Quince,Cowpea,Lychee,Macadamia,Alum,Cuttlefish,Hairstyle,Bay leaf,Blackberry,Grasshopper,Cicada,Rhubarb,Kale,Lilium,Beluga (sturgeon),Liquorice,leaves,fruit,grow,edible plants,cultivation,family ,,genus,,plants,plant,plants and humans,ethnobotany,,,flora by continent,seeds,types of food,seed,flowering plant,,species,specie,,
LDA_c1_g26,1,food,Legume,Clam,Cherry,Watermelon,Banana,Grouper,Ficus,Hagfish,Olive,Juniper berry,Yolk,Urdu,Tetraodontidae,Tarragon,Liquorice,Wasabi,Rosemary,Phaseolus vulgaris,Haddock,Chestnut,Jackfruit,Lima bean,Durian,Snakehead (fish),Flax,Bean,Cinnamon,Alum,Kopi luwak,Lingzhi mushroom,Squid,,,cultivation,specie,plants and humans,seed,flowering plant,,genus,grow,,plants,fruit,,species,,plant,flora by continent,seeds,leaves,ethnobotany,,family ,types of food,edible plants
kmeans_plain_c3_g8,3,food,Alcoholic drink,Hops,Wheat beer,Cabernet Sauvignon,Vermouth,Stout,Rum,Rakı,Pulque,Coors Brewing Company,Riesling,Lager,Painting,Merlot,Tanqueray,Drink,Burgundy wine,Slivovitz,Gin,Juniper berry,Pilsner,Absolut Vodka,Bitters,Beer,Winemaking,Jim Beam,Tequila Sunrise (cocktail),Drink,Ginger ale,Wine,Alcohol by volume,bottle,,take,alcohol,wine,cocktail,brewery,alcoholic drinks,place,episode,grapes,describe,,fermented drinks,wine,,alcoholic drinks by country,,alcoholic beverage,wines,beer,new york,produced,beers,alcohol
kmeans_plain_c4_g9,4,food,Tetraodontidae,Shrimp,Lobster,Bass (fish),Scallop,Snail,Atlantic salmon,Grouper,Yellowfin tuna,Dromedary,Abalone,Mantis shrimp,Computer Science,Wild boar,Sturgeon,Clam,Tilapia,Rainbow trout,Common pheasant,Caviar,Camel,Catfish,Snakehead (fish),Fish,Salmon,Anchovy,Ambergris,Beefalo,Domestic pig,Carp,Grasshopper,atlantic ocean,fishing,animal-based seafood,waters,crustacean,soup,mollusc,species,fisheries,fishing industry,vegetable,,,,females,fish,salt,seafood,fry,,cake,fishing,sea,primary industries,
LDA_c3_g11,3,food,A&W Restaurants,Buc-ee's,History of the hamburger,Anthony Bourdain: Parts Unknown,Robert Irvine,Ramsay's Kitchen Nightmares,Colonel Sanders,Kimbal Musk,Benihana,Mary Berry,Buffet,Nigella Lawson,Burger King,Nathan's Hot Dog Eating Contest,Archie Bunker's Place,A Charlie Brown Christmas,Party,California roll,Liebeck v. McDonald's Restaurants,Alinea (restaurant),KFC,Toast sandwich,Carl's Jr.,Dairy Queen,Jessica Seinfeld,Anne Burrell,Painting,Barney Rubble,Bar,Consumption of Tide Pods,Gentlemen's club,work,restaurants by time,restaurants by type,restaurants by century of establishment,new,,restaurants,new york city,time,city,,year,restaurant,food,restaurants by year of establishment,locations,chain,menu,opened,restaurants,united states,location,,fast food,restaurant chain
kmeans_augmented_c0_g20,0,food,Sugar,Foodborne illness,Cocoa bean,Glutamic acid,Vitamin E,Glycine,Tocopherol,Shellac,Food,Hemp oil,Soy milk,Soy milk,Chewing gum,Blush,Xanthan gum,Amylase,Taste,Drinking straw,Livestock,Paraben,Cooking oil,Acetone,Ethylenediaminetetraacetic acid,Dry ice,Chocolate,Coffee percolator,Hand washing,Genetically modified food,Apple cider vinegar,Botulism,Titanium dioxide,effects,carbohydrate,diet,studies,organic compound,processing,food and drink,increase,health,nutrition,operate,offer,canada,health,protein,beverage,start,chemical formula,,,food politics,intake,food additives,food,acid
LDA_c2_g46,2,food,Aspic,Halva,Illicium verum,Oatmeal,Peanut butter and jelly sandwich,Delicatessen,Poached egg,Kimchi,Al dente,Sashimi,Apple,Christmas dinner,Baguette,Herbes de Provence,Braces,Turkish delight,Chicago-style pizza,Paprika,Allspice,Paratha,Steak,Grits,Cupcake,Curry,Beetroot,Annatto,Pressure cooking,Gratin,Baking,Spaghetti alla puttanesca,Stir frying,serve,dishes,food,,cuisine by continent,cuisine,preparation,meat,beef,cuisine by country,,rice,call,culture by country,cooked,ingredients,dish,pork,bread,,,food and drink by country,served,cuisine,cheese
LDA_c1_g31,1,food,Haddock,Cinnamon,Brassica oleracea,Green bean,Coffee,Pitaya,Quince,Persimmon,Liquorice,Rosemary,Guarana,Opuntia,Aegle marmelos,Fruit,Cod,Maize,Meyer lemon,Anthocyanin,Computer Science,Thyme,Blood orange,Bay leaf,Alum,Wasabi,Fish,Coffea,Pea,Silkie,Rice,Lentil,Legume,plants,flora by continent,,fruit,flowering plant,,types of food,species,seed,seeds,specie,,,,family ,,genus,grow,plants and humans,leaves,ethnobotany,,plant,cultivation,edible plants
LDA_c4_g6,4,food,Last Supper,Prohibition in the United States,Dionysus,Martini (cocktail),Aperol,Sake,Rum,Irish coffee,Draught beer,Aguardiente,Braces,Slivovitz,Demeter,Asahi Breweries,Absinthe,Buckfast Tonic Wine,Vermouth,Vodka,Microbrewery,Balsamic vinegar,Alcoholic drink,Kvass,Amaro (liqueur),Gin,Single malt whisky,Jack Daniel's,Moonshine,Jägermeister,Lambic,Prohibition,Mai Tai,,,alcoholic drinks,,,,brewery,produce,fermented drinks,,beer,wine,alcohol by volume,alcohol,cocktail,drink,alcoholic beverage,,beers,brewing,alcohol,drug culture,,alcoholic drinks by country,
LDA_c2_g18,2,food,Curry,Brunch,Stir frying,Spaghetti,Nutmeg,Borscht,Dosa,Bhut jolokia,Chickpea,Wheat gluten (food),Baked potato,Pasta,Naruto,Samosa,Cayenne pepper,Chili pepper,Lasagne,Vinegar,Thousand Island dressing,Momordica charantia,Haggis,Horse meat,Types of cheese,Aspic,Sausage,Welsh rarebit,Australian cuisine,Black-eyed pea,Fiddlehead fern,Smörgåsbord,Halva,serve,call,meat,served,cuisine,,dishes,food and drink by country,,bread,cooked,preparation,cuisine by country,rice,pork,cuisine by continent,food,dish,culture by country,cuisine,ingredients,beef,,cheese,
kmeans_augmented_c3_g8,3,food,Diet Coke,Crystal Pepsi,Five Guys,"Mars, Incorporated",Super Size Me,TripAdvisor,Painting,Cola,Albertsons,Canada Dry,Jared Fogle,Sainsbury's,Beyond Meat,Domino's Pizza,Aldi,Safeway Inc.,Howard Graham Buffett,History of McDonald's,Ovaltine,Chick-fil-A,Vending machine,Monster Energy,Starburst (confectionery),Subway (restaurant),Sodexo,Grocery store,Woolworths Supermarkets,Quaker Oats Company,Thums Up,Wendy's,The Great Atlantic & Pacific Tea Company,stores,operations,cultivate,united,brands,united states,early,brand,soft drink,marketing,the coca-cola company,food product brands,companies by industry and year of establishment,white,establishments in the united states by year,locations,united kingdom,fast food,company,food and drink companies by year of establishment,juice,green,chain,,brands
kmeans_plain_c6_g32,6,food,Tamarind,Basil,Peanut,Agave,Capsicum,Sesame,Salvia officinalis,Rhubarb,Phytophthora infestans,Pea,Bitter orange,Gmail,Boletus edulis,Illicium verum,Allspice,Bell pepper,Coffea,Lingzhi mushroom,Fennel,Lime (fruit),Silphium,Blue Java banana,Chicory,Yam (vegetable),Darjeeling tea,Watermelon,Chili pepper,Plum,Flax,Banana,Kudzu,plant,plant products,plants,potato,flowers,cooking,genus,version,flora by continent,,dessert,leaves,cultivation,flowering plant,preparation,cultivar,,types of food,cultivars,fruit,edible plants,,plants and humans,tree,seeds
kmeans_plain_c0_g33,0,food,Curcumin,Genetically modified food controversies,Food and Drug Administration,Sugar alcohol,Water,Caffeine,Colostrum,Baking powder,Pasteurization,Carrageenan,Paraffin wax,Glycemic index,Coconut oil,Coffee bean,Spirulina (dietary supplement),Painting,Hemp,Citric acid,Vitamin E,Human nutrition,Glutamic acid,Potassium iodide,Hand washing,Sugar substitute,Xanthan gum,Decaffeination,Sugar beet,Coconut water,History of chocolate,Sulfur dioxide,Inedia,food additives,,operate,diet,acid,beverage,canada,food,intake,increase,organic compound,health,offer,nutrition,studies,food and drink,food politics,,protein,start,chemical formula,processing,carbohydrate,health,effects
kmeans_augmented_c1_g8,1,food,Ham,Buffalo wing,Pickled cucumber,Lamb and mutton,Spam (food),Bread,Hairstyle,Spaghetti,Poblano,Smoking (cooking),Porridge,Hummus,Australian cuisine,Kimchi,Lunch,Cheese,HP Sauce,Ice cream,Beef Stroganoff,Yolk,Matcha,Steak,Roquefort,Angus cattle,Bagel,Izakaya,Head cheese,Tabasco sauce,Takeru Kobayashi,Andouille,Cookie,cuisine,dish,preparation,sea,pork,cuisine by region,cuisine,,cheese,beef,cuisine by country,abalone,bread,dishes,occur,culture by country,meat,traditional,cooked,range,salmon,sugar,food and drink by country,served,
kmeans_plain_c0_g4,0,food,History of chocolate,Apple cider vinegar,Sugar beet,Curcumin,Acetaldehyde,Vegetable oil,Food pyramid (nutrition),Maillard reaction,Adolf Hitler and vegetarianism,Gallon,Decaffeination,Saccharomyces cerevisiae,Potassium iodide,Protease,Citric acid,Sunflower oil,Food preservation,Coffee bean,Maple syrup,Tocopherol,Organic farming,Energy drink,Potassium nitrate,Dairy,Glycine,Painting,Water,Trans fat,Vitamin C,Sea salt,Chewing gum,food politics,operate,intake,nutrition,organic compound,health,effects,food,carbohydrate,processing,diet,start,health,chemical formula,,canada,studies,food additives,offer,food and drink,increase,beverage,acid,protein,
kmeans_plain_c6_g3,6,food,Yuzu,Flax,Black tea,Wasabi,Guarana,Gooseberry,Aegle marmelos,Jalapeño,Radish,Spice,Saffron,Cashew,Apple,Monstera deliciosa,Bay leaf,Bergamot orange,Common fig,Adzuki bean,Soursop,Mathematical Statistics,Cranberry,Blackberry,Sesame,Black pepper,Muskmelon,Cowpea,Sichuan pepper,Phyllanthus emblica,Scoville scale,History of tea,Turnip,,flora by continent,tree,flowering plant,genus,edible plants,leaves,seeds,cultivars,preparation,plants,types of food,cooking,flowers,cultivar,plants and humans,dessert,,cultivation,potato,,version,plant,plant products,fruit
kmeans_plain_c6_g23,6,food,Plum,Cabbage,Ficus,Black pepper,Quinoa,Lime (fruit),Gmail,Cherry,Horseradish,Maize,Fenugreek,Watermelon,Bean,Plant,Coffea,Basmati,Chickpea,Amaranth grain,Sugar-apple,Anise,Drupe,Caper,Artemisia absinthium,Phytolacca americana,Fruit,Shiitake,Saffron,Pecan,Basil,Citron,Vaccinium vitis-idaea,seeds,flowering plant,leaves,plants and humans,potato,cultivation,cultivars,flowers,,plants,plant,flora by continent,dessert,preparation,edible plants,version,,cultivar,genus,plant products,fruit,cooking,,tree,types of food
LDA_c2_g42,2,food,Hummus,American cuisine,Cake,Sausage,Vicia faba,Gelato,Ketchup,Pastel de nata,Noodle,Panini (sandwich),Lunch,Porridge,Korean cuisine,Mayonnaise,Beignet,Indian cuisine,Chutney,French cuisine,Borscht,Chili con carne,Mathematical Statistics,Taco,Capocollo,Nutmeg,Types of cheese,Bagel,Cayenne pepper,Lutefisk,Kofta,Wiener schnitzel,Conch,cheese,cuisine,rice,,call,dishes,beef,food,cuisine,,food and drink by country,cuisine by country,bread,serve,,ingredients,,meat,served,pork,culture by country,preparation,cooked,dish,cuisine by continent
kmeans_augmented_c6_g39,6,food,Cabbage,Phytolacca americana,Lutein,Citron,Anise,Black-eyed pea,Orchidaceae,Lemon,Bitter orange,Pomelo,Blue Java banana,Durian,Cherry,Crataegus,Raspberry,Mung bean,Cherimoya,Sugarcane,Painting,Capsicum,Theobroma cacao,Black pepper,Citrus,Common fig,Alphonso (mango),Tannin,Amaranth grain,Vaccinium vitis-idaea,Papaya,Herb,Zucchini,,plants and humans,dessert,preparation,types of food,version,,flora by continent,cooking,cultivars,fruit,edible plants,flowering plant,leaves,cultivation,,flowers,cultivar,seeds,genus,tree,plant,potato,plant products,plants
kmeans_augmented_c1_g9,1,food,Medieval cuisine,Meat,Korean cuisine,Cupcake,Tempura,Lasagne,Potato pancake,Hairstyle,French fries,Kebab,Smörgåsbord,Pancake,Gratin,Panini (sandwich),Halva,Samovar,Christmas dinner,Air fryer,Peruvian cuisine,Butter chicken,History of the hamburger,Turkish coffee,Last Supper,Pumpernickel,Mooncake,Ganache,Baked Alaska,Lo mein,Yogurt,Hamburger,Baozi,cuisine by region,sea,cuisine by country,preparation,bread,sugar,cheese,,cuisine,meat,dish,food and drink by country,traditional,beef,occur,pork,range,cuisine,served,cooked,abalone,salmon,,culture by country,dishes
LDA_c2_g6,2,food,Pork,Christmas dinner,Blush,Apple,Grits,Baked potato,Noodle,Instant noodle,Australian cuisine,Pico de gallo,Tempura,Portuguese cuisine,Bagel,Brioche,Pho,Chinese cuisine,Bhut jolokia,Salami,Lutefisk,Mozzarella,Comfort food,Worcestershire sauce,Beef bourguignon,Bread,Baked Alaska,Wiener schnitzel,Buttermilk,Sandwich,Grilling,Chicago-style pizza,Bain-marie,,,serve,beef,food,cooked,cuisine,dish,cuisine,bread,call,cuisine by country,ingredients,,pork,dishes,meat,,food and drink by country,culture by country,preparation,served,cheese,rice,cuisine by continent
LDA_c1_g39,1,food,Lima bean,Achillea millefolium,Blood orange,Blue Java banana,Theobroma cacao,Gooseberry,Theobromine,Paraffin wax,Rabbit,Jackfruit,Opuntia,Chestnut,Grouper,Pomelo,Borage,Grasshopper,Hemp,Shellac,Berry,Basa (fish),Anise,Seaweed,Melon,Kiwifruit,Juniper,Painting,Herring,Phytolacca americana,New Mexico chile,Coffea,Flowering plant,,,plant,seeds,leaves,types of food,plants,,family ,,,edible plants,plants and humans,species,specie,,ethnobotany,fruit,cultivation,flora by continent,grow,flowering plant,seed,genus,
kmeans_augmented_c2_g0,2,food,Hairy Bikers,Restaurant,Sideways,Kitchen,Alice (TV series),Bed and breakfast,My Kitchen Rules,Robert Irvine,Coffeehouse,Gordon Ramsay,Mathematical Statistics,Christina Tosi,Dom DeLuise,Coyote Ugly (film),Auguste Escoffier,Ramsay's Kitchen Nightmares,Cafeteria,Kimbal Musk,86 (term),MasterChef Australia,Party,Heston Blumenthal,Chef,Chez Panisse,Nigella Lawson,Michelin Guide,Cheers,Anne Burrell,John Torode,Home economics,Flat white,chef,street,restaurant,people,note,new york city,,20th-century births,food network,california,work,survivors,celebrity chef,london,,german,award,make,,greek,births by decade,years,,kitchen,opened
LDA_c1_g12,1,food,Snakehead (fish),Cannabis edible,Bitter orange,Alphonso (mango),Clam,Orchidaceae,Brassica oleracea,Rainbow trout,Lilium,Vaccinium vitis-idaea,Catfish,Carp,Herb,Mathematical Statistics,Cucumber,Durian,Boletus edulis,Synsepalum dulcificum,Legume,Algae,Habanero,Rosemary,Agave,Beluga (sturgeon),Celery,Common fig,Onion,Borage,Saffron,Hagfish,Key lime,plant,,grow,fruit,,leaves,seeds,genus,,family ,ethnobotany,types of food,seed,,,edible plants,species,flowering plant,,plants,cultivation,specie,flora by continent,,plants and humans
LDA_c5_g3,5,food,AGA cooker,Nespresso,Tab (drink),Nabisco,Mondelez International,Whole Foods Market,Plastic bag,Breakfast cereal,Quaker Oats Company,Granola,Monster Energy,Smarties,The Coca-Cola Company,Frito-Lay,Lipton,Mars (chocolate bar),Sodexo,Marmite,United Spirits,Campbell Soup Company,7-Eleven,Girl Scout Cookies,Wegmans,"Meal, Ready-to-Eat",Oreo,Compass Group,Mountain Dew,Crown Royal,Naruto,Cadbury Creme Egg,PepsiCo,company,brand,products,product,food and drink companies by country,,,brands by company,,supermarket,sell,companies by year of establishment,market,brands,coca-cola,united,brands,soft drink,business,food product brands,united kingdom,,the coca-cola company,,stores
LDA_c6_g12,6,food,Glutamic acid,Low-carbohydrate diet,Chlorella,Almond milk,Lutein,Oat,Curing (food preservation),Atkins diet,Spirulina (dietary supplement),Palm oil,Smoke point,Coconut water,Acetone,Plant nutrition,Zinfandel,Tannin,Xylitol,Lactose,Wine,Monosodium glutamate,Gelatin,Hazard analysis and critical control points,Vegetable oil,Amylase,Unsaturated fat,Baking powder,Food irradiation,Freeze-drying,Urdu,Dietary fiber,Foie gras,produce,,health,branches of biology,food politics,wine,organic compound,proteins,,use,increased,high,food,water,studies,effects,vineyards,grapes,diet,food and drink,nutrition,protein,,levels,carbohydrate
kmeans_plain_c2_g10,2,food,Iron Chef,Michelin Guide,Marcus Wareing,Padma Lakshmi,Dom DeLuise,Nigella Lawson,Space Needle,Thomas Keller,Black Dahlia,Andrew Zimmern,Alice (TV series),MasterChef Australia,Bed and breakfast,Archie Bunker's Place,Anne Burrell,Kitchen Nightmares,Duff Goldman,Party,Coffeehouse,Robert Irvine,Gmail,Mary Berry,The Fat Duck,John Torode,Alinea (restaurant),Leah Chase,My Kitchen Rules,The Great British Bake Off,Lidia Bastianich,Sous-vide,Keith Floyd,work,award,california,note,opened,,greek,london,make,,victims,,german,street,,kitchen,births by decade,chef,restaurant,food network,people,years,celebrity chef,new york city,20th-century births
LDA_c2_g36,2,food,Idli,Zongzi,Ginger,Iranian cuisine,Annatto,Instant noodle,Horse meat,Japanese curry,Barbecue,Polenta,Basmati,Dosa,Poppy seed,Baked potato,Ipomoea aquatica,Naruto,Pressure cooking,Tapas,Ice cream,Chowder,Mustard (condiment),Bhut jolokia,French fries,Aspic,Tandoori chicken,Congee,Vicia faba,Peanut butter,Spaghetti,Dill,Burrito,cuisine,call,bread,,,ingredients,preparation,food,,dishes,cuisine,,cooked,cuisine by continent,rice,pork,cheese,meat,served,culture by country,beef,food and drink by country,serve,cuisine by country,dish
